StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,QConsent,1.1,1.2,2.2_Id,2.2_Name,2.2_Size,2.2_Type,2.3,3.1.1,3.1.2,3.2,3.2_3_TEXT,3.3,4.1,4.2,4.3,4.3.1,4.3.2,4.3.2_5_TEXT,4.3.3,4.3.3_3_TEXT,4.4,4.4.1,4.4.2,4.4.2_5_TEXT,4.4.3,4.4.3_3_TEXT,Q44,Q44_3_TEXT,Q44_7_TEXT,Q45,Q45_9_TEXT,Q45_11_TEXT,Q46,Q47,Q-Nudge-Recall-Weak,Q-Nudge-Recall-Comp,5.2,5.3,5.3_4_TEXT,Q-bug-reports,PROLIFIC_PID,SurveyID,UserAgent,Referer,ResponseID,STUDY_ID,SESSION_ID
2021-01-29 03:25:20,2021-01-29 03:26:18,IP Address,100,57,True,2021-01-29 03:26:18,R_12J8gNJFlfvq9VZ,anonymous,EN,0.9,"No, I do not consent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d79d3f3fa7c0700018f0a14,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",,R_12J8gNJFlfvq9VZ,5fffe5d53d8583062b14514a,6013b857270fe929b3d90de5
2021-01-29 03:25:19,2021-01-29 03:26:58,IP Address,100,99,True,2021-01-29 03:26:59,R_3lKAIugfQ4Ptt1k,anonymous,EN,0.8,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c80b4b9948f9c00017b40a6,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",,R_3lKAIugfQ4Ptt1k,5fffe5d53d8583062b14514a,6013b85a9aa8f62add5a513f
2021-01-29 03:27:26,2021-01-29 03:28:50,IP Address,100,84,True,2021-01-29 03:28:50,R_3ReJgwzYWBkqznj,anonymous,EN,1,"No, I do not consent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fad5482f2e5c201d4a5cd76,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_3ReJgwzYWBkqznj,5fffe5d53d8583062b14514a,6013b8d81e8f2028d1bfe69e
2021-01-29 03:28:40,2021-01-29 03:31:30,IP Address,100,169,True,2021-01-29 03:31:30,R_RkorrorkVBOAkHn,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fa548464d75e0232275d55e,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_RkorrorkVBOAkHn,5fffe5d53d8583062b14514a,6013b9253eee9a2b2a88e6b0
2021-01-29 03:27:35,2021-01-29 03:32:37,IP Address,100,301,True,2021-01-29 03:32:37,R_x324feP9lFMZ0Qx,anonymous,EN,1,"Yes, I consent",Dashlane,Less than 2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d88d30939fe2d00185758df,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_x324feP9lFMZ0Qx,5fffe5d53d8583062b14514a,6013b8e5d4e20d2ac576b211
2021-01-29 03:32:08,2021-01-29 03:34:18,IP Address,100,129,True,2021-01-29 03:34:18,R_3CNMPMYrEopwV7l,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5be1bed891deed00015a9606,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_3CNMPMYrEopwV7l,5fffe5d53d8583062b14514a,6013b9f4ed3941295998ccab
2021-01-29 03:26:30,2021-01-29 03:35:04,IP Address,100,514,True,2021-01-29 03:35:05,R_23f7I4z1rpmpAV8,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c755d734e6853001605ec69,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_23f7I4z1rpmpAV8,5fffe5d53d8583062b14514a,6013b8a32b50d92acf130c9a
2021-01-29 03:34:08,2021-01-29 03:35:53,IP Address,100,105,True,2021-01-29 03:35:53,R_2EoQ9i7IIlrFHkJ,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c4236103be7b70001fd01c5,SV_0ilvaSWMyHsWsDk,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,,R_2EoQ9i7IIlrFHkJ,5fffe5d53d8583062b14514a,6013ba6ef721c12a2e447187
2021-01-29 03:35:16,2021-01-29 03:36:07,IP Address,100,51,True,2021-01-29 03:36:07,R_1d5NULLzYLoOy4v,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f636c7415568403d097b9d7,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36 Edg/87.0.664.47",,R_1d5NULLzYLoOy4v,5fffe5d53d8583062b14514a,6013b947a5f93a2912f92c74
2021-01-29 03:36:18,2021-01-29 03:37:32,IP Address,100,74,True,2021-01-29 03:37:32,R_1FrDLfeHeS0jYPj,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fc51d0db609ae0e6834a36d,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_1FrDLfeHeS0jYPj,5fffe5d53d8583062b14514a,6013baedf791c4289262614a
