StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q.WhichPwdManager,Q.WhichPwdManager_17_TEXT,Q.WhichPwdManager_18_TEXT,Q.Generating.Nay,Q.Generating.Nay_3_TEXT,Q.Generating.Nay.FU,Q.WhyNay,Q.WhyNay_2_TEXT,Q.Duration,Q.learningMore,Q.Consent,Q.Consent_6_TEXT,Q.Consent_11_TEXT,Q.Consent_12_TEXT,2.2_Id,2.2_Name,2.2_Size,2.2_Type,Q83_Id,Q83_Name,Q83_Size,Q83_Type,Q.KnewDash,Q.KnewDash.HowOften,Q.KnewDash.WilUse,Q.Generating.In,Q.Generating.In_3_TEXT,Q.Generating.In.Why,Q.Pwds.Total,Q.Pwds.R,Q.Pwds.W,Q.Pwds.RW.React,Q.Pwds.RW.React.Y,Q.Pwds.RW.React.Y_5_TEXT,Q.Pwds.RW.React.N,Q.Pwds.RW.React.N_3_TEXT,Q.Pwds.C,Q.Pwds.C.React,Q.Pwds.C.React.Y,Q.Pwds.C.React.Y_5_TEXT,Q.Pwds.C.React.N,Q.Pwds.C.React.N_3_TEXT,Q.MPwd.How,Q.MPwd.How_3_TEXT,Q.MPwd.How_7_TEXT,Q.MPwd.Act,Q.MPwd.Act_9_TEXT,Q.MPwd.Act_11_TEXT,Q.MPwd.Act.File,Q.MPwd.Act.Store,Q.Nudge.Recall.Weak,Q.Nudge.Recall.Comp,Q.age,Q.gender,Q.gender_4_TEXT,Q.bug.report,PROLIFIC_PID,SurveyID,UserAgent,Referer,ResponseID,STUDY_ID,SESSION_ID,RandomNumber
2021-03-29 05:03:05,2021-03-29 05:03:19,IP Address,100,14,True,2021-03-29 05:03:20,R_1cS30oGtIm5IDgn,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,I'm not using a password manager,,,,,,I don't see any benefit in having my passwords saved and automatically entered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f661b5e3512a71b39229e76,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_1cS30oGtIm5IDgn,60543d99af1be61c04987fc8,606189b73e885340ee2e999d,8635
2021-03-29 05:04:14,2021-03-29 05:04:33,IP Address,100,19,True,2021-03-29 05:04:33,R_2sU6EA4wAIfyeSs,anonymous,EN,1,I'm not using a password manager,,,,,,"I am concerned that other people may access the computer, tablet, phone, or other device on which my passwords are saved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8dee59dc2a5c18026439b8,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_2sU6EA4wAIfyeSs,60543d99af1be61c04987fc8,606189fae5fb4a498a1cffdf,14509
2021-03-29 05:03:34,2021-03-29 05:04:54,IP Address,100,79,True,2021-03-29 05:04:54,R_3G8qyQT9V9YtBuk,anonymous,EN,1,The Password Manager Built into Google's Chrome Browser (Google Password Manager),,,Create a password myself and let my password manager save it,,so that I know it by heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f453d4e4402ed0de98c3406,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_3G8qyQT9V9YtBuk,60543d99af1be61c04987fc8,606189d0469f291096fe5efb,9697
2021-03-29 05:03:47,2021-03-29 05:05:13,IP Address,100,86,True,2021-03-29 05:05:14,R_3hihP6t3zgS1Szn,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Another Browser's Built-In Password Manager (please type the name below),Password manager built into Opera Browser,,Create a password myself and let my password manager save it,,I know it will be a strong password known only by me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d62a070364f9a0015f1dbc6,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36 OPR/74.0.3911.218",,R_3hihP6t3zgS1Szn,60543d99af1be61c04987fc8,606189e0e7cdd1f9bcecc738,10590
2021-03-29 05:05:09,2021-03-29 05:05:34,IP Address,100,24,True,2021-03-29 05:05:34,R_zUPdQBCBvOjG2Dn,anonymous,EN,1,I'm not using a password manager,,,,,,I didn't know I could save my passwords in my browser or with a password manager.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fc117058e28dc0c3d3eb77f,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_zUPdQBCBvOjG2Dn,60543d99af1be61c04987fc8,60618a331424e178f7c096a3,3196
2021-03-29 05:04:06,2021-03-29 05:05:43,IP Address,100,97,True,2021-03-29 05:05:43,R_yR7t1dvqmNd2nAZ,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,The Password Manager Built into Microsoft's Edge Browser,,,Create a password myself and let my password manager save it,,Making password patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605e00317685d10fdd6e7a16,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63",,R_yR7t1dvqmNd2nAZ,60543d99af1be61c04987fc8,606189da9c4057284012e5e9,12150
2021-03-29 05:05:25,2021-03-29 05:06:02,IP Address,100,37,True,2021-03-29 05:06:03,R_1TvgABEcyHqz4Mp,anonymous,EN,1,I'm not using a password manager,,,,,,"I am concerned that other people may access the computer, tablet, phone, or other device on which my passwords are saved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eeca303e18bd704d8237603,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_1TvgABEcyHqz4Mp,60543d99af1be61c04987fc8,60618a433f88863965e0b998,9712
2021-03-29 05:04:40,2021-03-29 05:06:15,IP Address,100,94,True,2021-03-29 05:06:16,R_24oZPzuOrhHBSr4,anonymous,EN,1,"The Password Manager Built into Apple's Safari Browser, MacOS, and iOS (Apple's Keychain)",,,Create a password myself and let my password manager save it,,"If I need to access from another browser I have more chances to remember it ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600c02676ae6fc2d6da07943,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_24oZPzuOrhHBSr4,60543d99af1be61c04987fc8,60618a145b6136b05ae1fa66,12578
2021-03-29 05:06:04,2021-03-29 05:06:46,IP Address,100,42,True,2021-03-29 05:06:46,R_1LG6furBgn0hiDe,anonymous,EN,1,"The Password Manager Built into Apple's Safari Browser, MacOS, and iOS (Apple's Keychain)",,,Create a password myself and let my password manager save it,,So I can remember it when I am not using my phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e53b9042546513c572cc84c,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",,R_1LG6furBgn0hiDe,60543d99af1be61c04987fc8,60618a6713a4028348bf952b,8935
2021-03-29 05:05:26,2021-03-29 05:06:46,IP Address,100,80,True,2021-03-29 05:06:47,R_1PTaaginkJB494U,anonymous,EN,0.8000000000000000444089209850062616169452667236328125,1Password,,,,,,,,Between 1 to 2 years,"Yes, I'll spend one more minute for a USD $0.25 bonus.",I am not comfortable uploading the screenshot of aggregate statistics or answering questions about my password manager.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6059e45270a75d578bb31691,SV_czLEHWBJoZM1foy,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.92 Safari/537.36",,R_1PTaaginkJB494U,60543d99af1be61c04987fc8,60618a386e6ada53c4098c0d,13286
